stator_od,stack_length,airgap,turns_per_coil,magnet_rem,slot_pole_combo,Kv,Torque,Kt_theoretical,Bg,Weight_kg
50.1,27.9,0.58,74,1.2,12N8P,24.9,0.209,0.355,0.96,0.26
49.5,10.1,0.81,88,1.24,12N14P,66.1,0.069,0.1534,0.99,0.09
101.0,30.9,0.97,20,1.11,18N16P,33.1,2.117,0.2993,0.89,1.16
58.3,48.5,0.81,65,1.19,18N16P,9.9,0.433,0.9308,0.95,0.61
42.7,23.0,0.54,94,1.22,12N14P,31.3,0.087,0.3209,0.98,0.15
42.4,20.6,0.99,82,1.22,9N6P,53.0,0.093,0.1798,0.98,0.14
58.5,27.8,0.87,10,1.29,12N8P,168.6,0.245,0.0593,1.03,0.35
106.1,34.2,0.91,75,1.15,36N30P,3.4,1.888,2.7133,0.92,1.42
63.1,49.2,0.97,23,1.18,24N20P,20.4,0.595,0.4756,0.94,0.72
68.3,31.2,0.56,75,1.1,9N6P,26.4,0.569,0.3815,0.88,0.53
90.5,20.8,0.86,66,1.17,9N6P,32.7,0.737,0.3141,0.94,0.63
59.2,31.9,0.87,64,1.24,9N6P,32.4,0.273,0.318,0.99,0.41
40.2,27.2,0.65,34,1.16,24N22P,44.1,0.085,0.2428,0.93,0.16
119.9,45.7,0.69,88,1.19,36N30P,1.9,4.745,5.0229,0.95,2.41
40.3,47.1,0.98,52,1.11,12N14P,30.9,0.175,0.2995,0.89,0.28
58.3,59.0,0.53,12,1.27,12N10P,62.1,0.738,0.1512,1.02,0.74
51.2,36.6,0.92,53,1.15,24N22P,14.0,0.285,0.6389,0.92,0.35
90.3,33.3,0.89,78,1.17,12N8P,12.6,1.407,0.7896,0.94,1.0
45.9,12.8,0.91,96,1.13,9N6P,73.4,0.064,0.1328,0.9,0.1
84.8,28.8,0.96,23,1.29,36N30P,15.2,0.95,0.6223,1.03,0.76
105.4,24.8,0.65,42,1.22,18N16P,16.2,2.009,0.5854,0.98,1.01
73.0,21.2,0.61,71,1.12,24N22P,14.2,0.411,0.7118,0.9,0.42
110.6,57.8,0.84,86,1.18,24N20P,2.3,3.907,3.7622,0.94,2.6
67.3,52.6,0.74,26,1.17,12N8P,31.3,0.651,0.3086,0.94,0.88
41.6,31.8,0.51,53,1.19,24N20P,20.0,0.144,0.4761,0.95,0.2
118.7,38.5,0.65,95,1.16,36N30P,2.3,3.431,4.4126,0.93,1.99
95.8,55.7,1.0,87,1.23,12N10P,5.8,2.659,1.6396,0.98,1.88
97.8,45.9,0.96,74,1.16,18N16P,5.5,2.458,1.6633,0.93,1.61
106.4,42.4,0.59,19,1.14,12N8P,30.1,2.906,0.2853,0.91,1.76
64.5,40.7,0.89,61,1.14,24N22P,9.9,0.57,1.0362,0.91,0.62
111.0,29.7,0.53,36,1.14,12N10P,24.0,1.741,0.3961,0.91,1.35
109.6,28.9,0.54,75,1.19,12N10P,11.4,1.955,0.8272,0.95,1.28
112.0,58.3,0.84,92,1.29,36N30P,1.4,5.204,6.7433,1.03,2.69
72.3,12.3,0.96,43,1.19,24N20P,36.6,0.23,0.2588,0.95,0.24
84.3,25.0,0.55,53,1.23,24N20P,12.5,0.629,0.7997,0.98,0.65
56.4,43.9,0.8,40,1.29,24N22P,13.8,0.591,0.7242,1.03,0.51
63.1,52.8,0.84,50,1.16,9N6P,24.7,0.876,0.412,0.93,0.77
52.4,56.9,0.67,97,1.11,36N30P,3.5,0.464,2.743,0.89,0.57
51.6,50.5,0.93,49,1.2,12N14P,23.5,0.435,0.4284,0.96,0.49
81.3,27.8,0.96,96,1.24,12N8P,12.3,0.803,0.7689,0.99,0.68
49.0,29.1,0.59,63,1.27,24N22P,15.9,0.215,0.6516,1.02,0.26
46.1,48.9,0.67,87,1.17,9N6P,21.5,0.247,0.4872,0.94,0.38
56.9,46.9,0.78,36,1.24,12N14P,29.1,0.546,0.3382,0.99,0.56
74.0,21.3,0.89,47,1.13,24N22P,18.9,0.488,0.4781,0.9,0.43
61.4,29.3,0.59,16,1.14,24N22P,50.0,0.42,0.189,0.91,0.41
109.7,25.8,0.63,68,1.25,18N16P,9.4,2.253,1.053,1.0,1.14
52.4,28.8,0.51,33,1.22,12N10P,56.0,0.218,0.1749,0.98,0.29
114.4,52.7,0.69,63,1.22,12N14P,6.1,3.787,1.3508,0.98,2.54
46.6,44.5,0.57,82,1.28,24N22P,7.5,0.243,1.2422,1.02,0.36
106.8,38.0,0.89,67,1.3,24N22P,4.6,2.6,2.0448,1.04,1.59
81.0,30.5,0.88,26,1.14,36N30P,14.7,0.794,0.6299,0.91,0.74
71.0,32.9,0.75,14,1.23,12N10P,77.9,0.556,0.1155,0.98,0.61
119.8,40.6,0.89,89,1.13,12N8P,6.2,3.215,1.4192,0.9,2.14
86.7,30.6,0.75,21,1.28,18N16P,28.6,1.102,0.3091,1.02,0.85
107.1,22.3,0.89,57,1.26,18N16P,13.3,1.298,0.7442,1.01,0.94
99.1,37.4,0.88,21,1.25,12N14P,33.4,2.151,0.2809,1.0,1.35
42.7,36.8,0.94,78,1.23,12N10P,21.2,0.201,0.4156,0.98,0.25
84.1,51.3,0.84,50,1.24,9N6P,17.7,1.933,0.577,0.99,1.33
78.2,31.4,0.78,77,1.16,12N14P,14.6,0.961,0.6308,0.93,0.71
95.7,50.4,0.77,33,1.14,12N8P,17.9,2.174,0.5253,0.91,1.7
65.1,27.0,0.79,53,1.3,18N16P,16.6,0.39,0.5186,1.04,0.42
43.0,56.1,0.63,52,1.18,12N10P,24.3,0.17,0.4188,0.94,0.38
68.1,10.4,0.56,92,1.25,9N6P,51.7,0.223,0.1767,1.0,0.18
98.3,23.5,0.74,13,1.18,24N22P,41.7,1.005,0.2056,0.94,0.83
76.7,19.6,0.87,94,1.14,36N30P,7.0,0.542,1.3834,0.91,0.42
56.2,18.1,0.87,56,1.25,12N8P,51.8,0.171,0.2009,1.0,0.21
65.1,10.8,0.93,91,1.3,12N8P,41.3,0.187,0.2357,1.04,0.17
61.9,46.7,0.84,19,1.24,9N6P,64.4,0.579,0.1451,0.99,0.66
86.2,41.5,0.59,29,1.17,24N20P,12.7,1.637,0.7057,0.94,1.13
97.4,38.4,0.9,32,1.13,12N10P,25.5,2.08,0.39,0.9,1.34
84.1,41.9,0.74,15,1.22,12N8P,50.6,1.425,0.1862,0.98,1.09
45.5,13.8,0.99,10,1.2,12N14P,474.0,0.06,0.0208,0.96,0.11
48.4,55.6,0.78,75,1.18,18N16P,10.2,0.296,1.0057,0.94,0.48
57.9,52.5,0.65,15,1.11,24N20P,31.2,0.612,0.2899,0.89,0.65
84.2,49.6,0.63,99,1.14,9N6P,9.7,1.626,1.0254,0.91,1.29
96.9,26.6,0.65,24,1.14,18N16P,30.8,1.104,0.3077,0.91,0.92
75.8,52.3,0.52,63,1.3,12N8P,9.7,1.559,0.9438,1.04,1.1
82.3,27.8,0.72,29,1.14,12N14P,47.9,0.978,0.2185,0.91,0.69
67.3,17.2,0.55,12,1.12,36N30P,70.4,0.282,0.1351,0.9,0.29
64.3,11.1,0.62,33,1.23,12N10P,112.0,0.173,0.0834,0.98,0.17
41.5,15.7,0.59,93,1.2,24N22P,24.8,0.062,0.4121,0.96,0.1
104.1,43.2,0.79,91,1.12,12N14P,7.3,2.82,1.3291,0.9,1.72
66.6,59.0,0.9,14,1.16,36N30P,16.7,0.857,0.5439,0.93,0.96
92.2,54.1,0.88,93,1.27,12N14P,5.6,2.408,1.6969,1.02,1.69
77.8,24.1,0.84,97,1.1,24N22P,9.0,0.613,1.1475,0.88,0.54
79.3,52.1,0.93,89,1.18,36N30P,2.5,1.443,3.7211,0.94,1.2
85.6,44.1,0.52,37,1.13,12N14P,20.8,1.284,0.46,0.9,1.19
95.5,24.3,0.58,20,1.2,9N6P,80.2,1.334,0.1218,0.96,0.81
106.3,22.1,0.95,32,1.26,36N30P,11.5,1.568,0.8202,1.01,0.92
55.9,37.8,0.77,93,1.29,36N30P,4.9,0.396,2.1586,1.03,0.43
46.3,55.1,0.6,23,1.24,9N6P,61.5,0.248,0.1553,0.99,0.43
94.8,19.1,0.54,92,1.11,12N10P,19.0,0.88,0.5396,0.89,0.63
80.3,48.5,0.84,54,1.15,12N14P,13.2,1.268,0.6944,0.92,1.15
55.1,18.1,0.91,97,1.25,12N10P,31.2,0.134,0.3399,1.0,0.2
79.2,42.0,0.98,59,1.24,24N20P,7.3,1.407,1.3882,0.99,0.97
56.7,39.4,0.63,61,1.28,12N14P,19.6,0.454,0.4997,1.02,0.47
106.2,48.7,0.97,35,1.26,12N10P,14.4,3.35,0.6579,1.01,2.02
81.1,59.2,0.92,58,1.11,12N10P,11.1,2.053,0.8848,0.89,1.43
46.5,15.6,0.98,17,1.17,36N30P,84.1,0.09,0.1197,0.94,0.12
100.5,37.3,0.6,52,1.16,18N16P,10.0,2.379,0.989,0.93,1.38
42.4,49.1,0.84,53,1.17,12N14P,26.5,0.156,0.3587,0.94,0.32
60.9,14.3,0.78,20,1.28,36N30P,51.2,0.231,0.1905,1.02,0.19
94.1,57.6,0.63,87,1.23,12N8P,5.8,2.341,1.687,0.98,1.87
44.5,17.6,0.69,30,1.18,9N6P,163.3,0.076,0.0587,0.94,0.13
108.9,43.4,0.86,47,1.21,36N30P,4.0,3.168,2.3357,0.97,1.89
63.6,15.4,1.0,62,1.25,18N16P,31.5,0.251,0.321,1.0,0.23
53.3,45.4,0.86,40,1.12,24N20P,15.5,0.337,0.6103,0.9,0.47
90.6,42.9,0.53,43,1.25,9N6P,21.5,2.118,0.457,1.0,1.29
58.2,58.2,0.73,13,1.13,18N16P,48.2,0.579,0.2128,0.9,0.72
117.4,41.3,0.62,75,1.12,18N16P,5.2,3.854,1.7855,0.9,2.09
50.1,44.4,0.82,46,1.24,12N10P,28.8,0.306,0.3569,0.99,0.41
117.6,50.4,0.91,29,1.26,12N8P,16.1,6.086,0.6277,1.01,2.56
47.2,56.9,0.87,40,1.28,9N6P,33.9,0.322,0.288,1.02,0.47
41.7,22.6,0.78,71,1.28,12N14P,38.2,0.093,0.2389,1.02,0.14
85.9,11.4,0.86,31,1.17,12N14P,90.8,0.447,0.1021,0.94,0.31
83.2,52.9,0.83,63,1.14,9N6P,14.3,1.775,0.6818,0.91,1.35
86.0,27.4,0.55,37,1.27,12N8P,29.7,1.182,0.3224,1.02,0.74
100.2,51.2,0.52,46,1.21,12N10P,11.6,2.997,0.8348,0.97,1.89
81.7,42.7,0.81,56,1.23,36N30P,4.8,1.19,2.0737,0.98,1.05
83.8,11.7,0.83,75,1.29,9N6P,48.4,0.385,0.2047,1.03,0.3
78.5,55.3,0.88,63,1.25,12N8P,9.2,1.704,0.979,1.0,1.25
68.0,53.9,0.82,86,1.24,9N6P,11.2,1.105,0.837,0.99,0.92
91.8,15.3,0.78,19,1.23,18N16P,67.5,0.638,0.1423,0.98,0.47
65.9,19.9,0.96,64,1.25,12N8P,30.2,0.367,0.297,1.0,0.32
117.8,57.3,0.72,87,1.1,36N30P,1.6,5.798,5.6477,0.88,2.92
60.8,37.6,0.58,69,1.19,12N8P,17.5,0.423,0.5407,0.95,0.51
61.5,27.5,0.71,97,1.23,12N8P,15.6,0.328,0.5772,0.98,0.38
73.5,40.7,0.89,28,1.15,12N14P,35.4,1.096,0.275,0.92,0.81
114.2,26.1,0.89,38,1.25,12N14P,24.8,1.92,0.4103,1.0,1.25
93.2,41.3,0.93,63,1.17,12N8P,12.5,1.699,0.816,0.94,1.32
65.0,20.3,0.6,56,1.29,24N20P,16.8,0.362,0.5497,1.03,0.32
81.9,17.6,0.84,78,1.22,18N16P,16.1,0.494,0.5912,0.98,0.43
113.7,35.7,0.69,47,1.23,24N20P,6.5,2.517,1.3679,0.98,1.7
97.3,13.1,0.51,12,1.25,18N16P,119.1,0.698,0.0838,1.0,0.46
58.3,42.4,0.58,40,1.11,9N6P,35.7,0.474,0.2368,0.89,0.53
84.5,35.4,0.83,47,1.13,18N16P,13.7,1.071,0.6857,0.9,0.93
91.3,16.1,0.65,72,1.26,24N22P,11.5,0.729,0.7746,1.01,0.49
92.1,18.4,0.99,28,1.13,9N6P,85.9,0.656,0.1153,0.9,0.57
113.3,35.5,0.61,92,1.13,12N10P,7.6,2.838,1.2216,0.9,1.68
99.7,34.9,0.73,77,1.2,9N6P,14.2,2.23,0.6998,0.96,1.28
57.4,58.7,0.66,11,1.18,12N8P,77.5,0.735,0.1251,0.94,0.71
116.4,50.2,0.97,60,1.28,18N16P,4.6,5.163,1.947,1.02,2.5
76.1,17.9,0.76,44,1.14,18N16P,36.4,0.502,0.2948,0.91,0.38
49.7,45.7,0.98,57,1.13,12N14P,22.6,0.308,0.4066,0.9,0.41
71.7,27.2,0.81,36,1.17,18N16P,25.5,0.655,0.3528,0.94,0.51
114.5,44.1,0.85,92,1.28,24N22P,3.0,4.989,3.4504,1.02,2.13
118.8,44.7,0.59,24,1.21,24N22P,10.0,4.933,0.9024,0.97,2.32
46.3,18.8,0.68,92,1.11,36N30P,11.8,0.094,0.7545,0.89,0.15
91.8,31.8,0.78,49,1.26,24N20P,8.7,1.564,1.042,1.01,0.99
78.8,56.5,1.0,88,1.17,36N30P,2.5,1.34,3.9181,0.94,1.29
75.8,21.2,0.56,10,1.28,12N10P,149.5,0.564,0.0597,1.02,0.45
90.2,58.7,0.54,89,1.28,12N14P,5.7,2.916,1.7586,1.02,1.76
73.4,20.2,0.64,16,1.19,18N16P,80.2,0.333,0.1223,0.95,0.4
54.0,46.8,0.52,88,1.17,36N30P,4.5,0.348,2.2477,0.94,0.5
92.5,30.9,0.64,21,1.24,24N22P,21.0,1.553,0.4326,0.99,0.97
71.8,58.0,0.58,35,1.16,12N14P,19.8,1.329,0.4894,0.93,1.1
85.6,37.2,0.59,28,1.16,36N30P,9.9,1.273,0.9019,0.93,1.0
114.1,48.0,0.54,91,1.22,12N8P,5.3,4.012,1.7803,0.98,2.3
83.2,48.0,0.99,60,1.2,12N14P,11.1,1.445,0.8215,0.96,1.22
114.7,41.4,0.83,83,1.14,12N10P,7.2,3.301,1.3044,0.91,2.0
82.5,50.2,0.57,48,1.14,12N8P,14.3,1.191,0.6587,0.91,1.26
75.1,32.9,0.61,37,1.23,9N6P,39.7,0.977,0.2441,0.98,0.68
59.3,56.8,0.62,73,1.18,12N8P,11.7,0.616,0.8331,0.94,0.73
94.8,15.3,0.69,78,1.28,12N14P,22.6,0.624,0.4204,1.02,0.51
40.0,37.7,0.66,66,1.27,12N8P,28.2,0.11,0.3554,1.02,0.22
119.4,18.4,0.84,44,1.17,24N20P,14.7,1.765,0.6572,0.94,0.96
104.1,33.7,0.69,25,1.18,12N14P,30.0,1.822,0.3011,0.94,1.34
112.9,15.1,0.63,11,1.3,12N8P,130.4,1.208,0.0712,1.04,0.71
83.0,57.0,0.74,41,1.16,18N16P,10.2,1.875,0.9742,0.93,1.44
95.9,33.5,0.84,23,1.14,12N8P,39.5,1.578,0.2433,0.91,1.13
109.1,51.0,0.79,72,1.12,24N22P,3.9,4.295,2.6052,0.9,2.23
96.8,36.1,0.7,50,1.25,24N22P,8.0,2.02,1.2682,1.0,1.24
72.7,11.4,0.67,26,1.15,12N8P,131.2,0.201,0.0715,0.92,0.22
90.5,29.3,0.98,64,1.11,12N14P,17.6,1.462,0.5402,0.89,0.88
49.7,26.9,0.93,14,1.24,9N6P,166.6,0.186,0.0486,0.99,0.24
70.6,46.4,0.96,70,1.28,12N10P,12.1,0.973,0.8336,1.02,0.85
83.4,33.4,0.99,94,1.16,9N6P,14.5,0.882,0.6509,0.93,0.85
76.1,46.5,1.0,25,1.25,12N8P,28.6,1.196,0.3146,1.0,0.99
79.1,54.8,0.75,40,1.21,12N8P,15.4,1.379,0.6044,0.97,1.26
85.4,42.7,0.9,59,1.21,24N20P,6.4,1.845,1.4945,0.97,1.14
97.1,35.7,0.9,74,1.14,36N30P,3.4,2.004,2.5293,0.91,1.24
118.1,17.9,0.91,40,1.13,36N30P,12.1,1.601,0.8309,0.9,0.92
111.5,11.9,0.92,43,1.14,12N8P,49.9,0.814,0.1882,0.91,0.54
115.1,56.2,0.91,35,1.1,18N16P,8.8,4.921,1.082,0.88,2.74
66.0,20.2,0.66,31,1.28,9N6P,85.3,0.287,0.1141,1.02,0.32
85.6,29.5,0.7,66,1.19,24N20P,8.1,1.01,1.1479,0.95,0.79
87.0,37.0,0.57,54,1.19,12N8P,16.1,1.221,0.6019,0.95,1.03
63.6,33.0,0.59,74,1.29,9N6P,20.9,0.561,0.4332,1.03,0.49
68.1,53.9,0.58,92,1.11,9N6P,12.2,0.658,0.8126,0.89,0.92
119.3,42.9,0.54,48,1.28,12N14P,10.4,4.98,0.9214,1.02,2.24
103.5,12.3,0.93,65,1.12,18N16P,25.1,0.901,0.4012,0.9,0.48
79.6,30.8,0.72,60,1.13,9N6P,26.3,1.029,0.3597,0.9,0.72
56.8,14.1,0.99,50,1.22,12N14P,67.0,0.171,0.1369,0.98,0.17
113.7,20.4,0.7,44,1.16,36N30P,9.7,1.367,1.0349,0.93,0.97
57.9,21.3,0.73,99,1.21,24N22P,10.5,0.291,0.8421,0.97,0.26
84.1,57.1,0.82,81,1.14,24N20P,3.9,1.683,2.5526,0.91,1.48
65.4,30.8,0.79,54,1.14,9N6P,37.3,0.371,0.2655,0.91,0.48
44.4,49.0,0.79,18,1.18,36N30P,26.6,0.216,0.388,0.94,0.36
42.0,18.2,0.9,59,1.24,24N20P,28.7,0.071,0.309,0.99,0.12
113.0,21.5,0.61,38,1.25,18N16P,18.9,2.066,0.5057,1.0,1.01
72.0,34.2,0.67,53,1.22,12N14P,21.2,0.898,0.459,0.98,0.65
68.8,18.9,0.81,52,1.18,24N20P,21.0,0.297,0.4561,0.94,0.33
102.8,25.8,0.9,71,1.17,24N20P,7.9,1.175,1.2726,0.94,1.0
90.2,53.6,0.87,14,1.26,12N10P,40.2,1.871,0.2456,1.01,1.6
79.1,40.0,0.87,57,1.25,36N30P,4.8,1.297,1.9382,1.0,0.92
42.0,55.6,0.57,85,1.11,9N6P,21.6,0.241,0.4694,0.89,0.36
62.0,12.6,1.0,46,1.2,24N20P,40.9,0.136,0.2428,0.96,0.18
43.1,43.6,0.85,65,1.24,12N10P,20.5,0.212,0.421,0.99,0.3
97.3,47.5,0.95,76,1.25,36N30P,2.4,2.07,3.7911,1.0,1.65
62.7,11.0,0.5,23,1.14,12N14P,186.2,0.135,0.0524,0.91,0.16
69.9,46.9,0.52,89,1.12,12N14P,10.5,0.908,0.9481,0.9,0.84
86.6,53.9,0.75,92,1.23,12N14P,6.1,2.162,1.526,0.98,1.49
117.7,54.4,0.65,22,1.21,12N14P,19.8,5.293,0.4977,0.97,2.77
82.6,57.2,0.85,86,1.2,9N6P,8.8,1.779,1.0506,0.96,1.43
76.1,31.9,0.78,64,1.26,9N6P,22.9,1.022,0.4219,1.01,0.68
84.2,59.4,0.86,34,1.2,24N22P,8.4,2.214,1.1728,0.96,1.55
106.7,37.8,0.65,30,1.19,12N10P,22.3,2.996,0.4197,0.95,1.58
44.3,44.2,0.77,39,1.21,24N20P,18.3,0.228,0.5179,0.97,0.32
104.9,39.8,0.58,59,1.14,18N16P,7.9,2.749,1.23,0.91,1.61
67.4,31.7,0.59,76,1.28,24N22P,7.7,0.595,1.2006,1.02,0.53
79.4,25.3,0.57,97,1.17,12N8P,14.5,0.796,0.662,0.94,0.59
103.6,32.1,0.62,66,1.14,9N6P,17.0,2.041,0.5471,0.91,1.27
40.2,17.3,0.56,20,1.11,12N10P,212.0,0.05,0.0438,0.89,0.1
71.5,44.7,0.54,84,1.16,12N10P,9.6,0.74,0.9031,0.93,0.84
63.0,52.4,0.64,27,1.18,36N30P,10.6,0.863,0.9069,0.94,0.76
71.0,10.0,0.61,62,1.28,12N10P,58.0,0.193,0.1628,1.02,0.19
97.2,21.4,0.86,76,1.26,24N22P,8.8,1.167,1.1502,1.01,0.74
44.7,31.3,0.73,55,1.13,24N20P,20.8,0.113,0.4892,0.9,0.23
85.0,36.0,0.75,16,1.26,36N30P,19.6,1.145,0.5344,1.01,0.96
95.7,43.0,0.75,66,1.13,12N10P,9.9,2.034,0.8892,0.9,1.45
119.2,21.8,0.85,90,1.23,18N16P,7.5,1.831,1.2532,0.98,1.14
63.6,12.0,0.51,90,1.22,24N22P,17.0,0.156,0.4853,0.98,0.18
49.1,11.0,0.95,61,1.11,18N16P,68.4,0.054,0.1527,0.89,0.1
46.9,13.9,0.65,10,1.1,18N16P,299.1,0.084,0.0305,0.88,0.11
49.2,27.1,0.9,88,1.11,12N8P,26.7,0.17,0.3638,0.89,0.24
87.0,18.7,0.56,97,1.21,24N20P,8.6,0.837,1.1118,0.97,0.52
92.4,14.4,0.53,53,1.18,12N10P,34.4,0.72,0.2428,0.94,0.45
86.5,42.3,0.7,64,1.11,18N16P,8.6,1.537,1.1286,0.89,1.16
79.9,34.4,0.95,36,1.15,36N30P,10.2,0.985,0.9753,0.92,0.81
66.8,59.3,0.91,72,1.3,12N10P,9.0,1.186,1.0529,1.04,0.97
79.8,14.5,0.68,69,1.26,12N8P,33.5,0.532,0.2908,1.01,0.34
108.8,59.1,0.5,90,1.18,36N30P,1.5,3.611,6.0012,0.94,2.57
96.8,16.3,0.76,59,1.2,12N14P,29.7,0.747,0.3236,0.96,0.56
53.4,45.5,0.81,79,1.12,9N6P,21.0,0.337,0.4554,0.9,0.48
102.7,10.8,0.81,18,1.11,36N30P,49.2,0.622,0.1926,0.89,0.42
48.7,45.5,0.51,87,1.29,12N10P,12.7,0.301,0.714,1.03,0.4
75.2,29.5,0.68,87,1.18,12N8P,13.8,0.871,0.6571,0.94,0.61
73.6,53.2,0.86,37,1.29,12N10P,19.8,1.468,0.5343,1.03,1.06
48.2,44.7,0.65,33,1.23,12N10P,37.5,0.266,0.2485,0.98,0.38
73.3,59.1,0.95,25,1.23,12N14P,25.1,1.47,0.3792,0.98,1.17
66.5,22.0,0.75,34,1.16,12N14P,56.7,0.363,0.1652,0.93,0.36
75.8,24.9,0.51,10,1.3,36N30P,42.7,0.764,0.2141,1.04,0.53
90.0,24.2,0.89,34,1.11,9N6P,55.7,0.896,0.1774,0.89,0.72
101.3,44.3,0.61,45,1.11,9N6P,19.6,2.518,0.4901,0.89,1.67
86.5,16.8,0.57,74,1.23,18N16P,16.0,0.483,0.5773,0.98,0.46
113.5,34.9,0.58,30,1.29,18N16P,14.8,3.262,0.6724,1.03,1.65
58.7,30.9,0.67,30,1.25,12N8P,48.9,0.349,0.1947,1.0,0.39
91.5,48.6,0.95,63,1.3,24N22P,4.7,2.129,2.092,1.04,1.5
52.1,11.7,0.63,16,1.26,36N30P,95.7,0.104,0.1053,1.01,0.12
116.8,51.1,0.52,65,1.12,24N22P,3.8,5.178,2.5469,0.9,2.56
92.2,22.9,0.89,69,1.3,36N30P,5.9,0.868,1.6359,1.04,0.72
102.7,24.3,0.82,16,1.2,12N8P,74.5,1.467,0.1388,0.96,0.94
90.8,38.3,0.75,85,1.26,24N22P,4.5,1.366,2.1551,1.01,1.16
104.7,31.4,0.77,79,1.11,24N22P,6.1,2.233,1.6732,0.89,1.27
75.9,27.3,0.92,83,1.23,18N16P,11.6,0.734,0.9058,0.98,0.58
74.4,51.0,0.86,64,1.28,12N8P,10.5,1.036,0.8891,1.02,1.04
86.7,50.7,0.83,76,1.25,12N10P,8.3,1.6,1.2027,1.0,1.4
88.6,23.2,0.79,99,1.17,36N30P,4.4,0.866,2.0618,0.94,0.67
51.3,53.9,0.58,10,1.11,18N16P,69.6,0.431,0.1318,0.89,0.52
102.8,32.9,0.74,63,1.15,12N8P,13.0,1.997,0.7115,0.92,1.28
110.3,53.2,0.68,13,1.24,24N20P,17.0,3.933,0.5512,0.99,2.38
75.0,44.7,0.67,83,1.27,9N6P,12.5,1.374,0.765,1.02,0.92
62.4,33.0,0.52,92,1.3,18N16P,9.8,0.503,1.0685,1.04,0.47
105.1,54.9,0.97,34,1.16,9N6P,19.2,3.577,0.4921,0.93,2.23
81.5,21.1,0.89,46,1.28,9N6P,43.3,0.615,0.2177,1.02,0.52
52.8,47.2,0.62,12,1.3,36N30P,27.7,0.404,0.3334,1.04,0.48
101.5,50.1,0.79,98,1.2,9N6P,7.0,2.743,1.2997,0.96,1.9
76.4,41.5,0.54,85,1.2,18N16P,6.3,1.227,1.4092,0.96,0.89
53.0,16.3,0.97,47,1.21,24N20P,35.6,0.137,0.2745,0.97,0.17
66.4,42.0,0.81,51,1.12,12N14P,21.5,0.698,0.4546,0.9,0.68
49.3,53.6,0.51,54,1.19,12N8P,19.9,0.288,0.4877,0.95,0.48
76.6,13.9,0.97,75,1.23,12N10P,35.7,0.29,0.2799,0.98,0.3
115.1,59.1,0.98,69,1.26,36N30P,1.8,6.868,5.1284,1.01,2.88
40.9,54.9,0.92,87,1.15,12N14P,14.3,0.17,0.6182,0.92,0.34
96.9,46.8,0.91,69,1.24,12N14P,8.8,2.063,1.1182,0.99,1.62
82.5,35.2,0.85,15,1.13,12N10P,66.1,0.924,0.1414,0.9,0.88
107.5,45.7,0.99,28,1.15,24N20P,11.0,3.307,0.9123,0.92,1.94
100.6,50.1,0.69,14,1.26,12N10P,34.9,3.265,0.2584,1.01,1.86
52.8,57.1,0.67,94,1.16,24N20P,4.9,0.41,1.8733,0.93,0.59
81.1,49.1,0.87,63,1.27,12N14P,10.8,1.577,0.9139,1.02,1.19
68.4,27.8,0.67,74,1.22,12N10P,17.7,0.557,0.494,0.98,0.48
99.7,42.2,0.52,99,1.15,9N6P,9.1,2.623,1.0502,0.92,1.54
