id,stator_od_mm,stator_id_mm,stack_length_mm,slots,poles,turns_per_slot,airgap_mm,ref_voltage_v,kv_rpm_v,kt_nm_a,rated_torque_nm,rated_current_a,resistance_ohm,efficiency_est,mass_est_kg
17,35.37,21.19,14.96,24,20,73,0.769,12,75.9822169959244,0.1239,0.03510882279252768,0.28,7.7213,0.1071,0.441
18,33.82,23.98,30.7,36,30,70,0.775,12,21.351360146004353,0.4492,0.07433149762719236,0.17,33.8931,0.1284,0.642
19,48.07,24.4,67.22,36,24,24,0.4,12,25.85389191951709,0.373,0.47744367770248247,1.34,3.0375,0.1529,4.237
20,52.84,29.87,39.27,18,16,22,0.421,12,85.33314296642209,0.1136,0.2921328534178766,2.68,0.4549,0.1839,2.742
21,63.06,39.78,44.18,36,30,63,0.383,24,9.963460042757392,0.9419,0.6398796461192476,0.66,11.1355,0.1759,3.889
22,81.61,41.78,66.58,36,24,6,0.773,24,63.8880111151653,0.1512,1.3240969978738306,9.0,0.1148,0.0939,12.028
23,124.49,74.35,82.51,18,12,36,0.838,48,8.906208157086585,1.0864,8.571035743404188,8.02,0.536,0.5119,30.238
24,97.49,71.24,83.63,36,30,29,0.567,24,6.450380667477144,1.4608,5.542798926645785,3.67,1.7451,0.315,13.617
25,94.76,68.63,124.02,24,20,49,0.749,24,4.064738686454597,2.3485,4.995436173622462,2.05,5.21,0.2513,19.465
26,99.42,59.35,100.19,12,14,6,0.687,24,87.56168488768009,0.1085,3.1821549483548033,30.24,0.0191,0.1867,23.429
27,124.17,75.05,150.34,12,10,65,0.835,48,4.06270114846108,2.3775,20.064068337654827,8.88,1.0328,0.5091,54.076
28,149.45,85.05,153.45,12,14,43,0.59,48,5.52121918300422,1.7517,30.306535673373862,17.85,0.3522,0.4814,85.17
29,143.14,90.67,146.29,12,10,16,0.542,48,13.691045226421776,0.694,28.239882634165294,41.34,0.0549,0.6133,65.975
30,114.28,70.09,137.21,24,22,47,0.81,48,3.632317733668037,2.5584,9.62575706352856,3.82,2.9475,0.3309,41.093
31,132.95,92.57,155.91,12,8,39,0.304,48,5.189704294536169,1.8909,10.846368060721655,5.64,1.0383,0.5745,52.181
32,134.03,76.74,129.0,36,24,12,0.498,48,9.124052491625571,1.0489,17.831518617542375,16.56,0.2408,0.3561,57.247
33,85.96,61.61,22.84,18,12,50,0.572,24,31.037575519648584,0.3066,0.6814314863963937,2.21,0.9936,0.3832,3.018
34,96.43,55.92,86.72,18,16,11,0.341,24,34.385552835622555,0.2757,8.024524736090552,28.18,0.0467,0.4653,19.671
35,69.17,44.84,46.89,9,6,41,0.365,24,47.07224208876429,0.2059,0.9217704860953106,4.42,0.3724,0.5606,4.782
36,97.68,59.77,69.75,36,30,16,0.909,24,16.241915645661308,0.5883,3.810185531149498,6.39,0.4622,0.2197,15.301
37,148.32,77.73,199.73,36,30,47,0.316,48,1.6078680719359753,5.8493,32.90715374882054,5.4,4.3833,0.2128,117.141
38,142.08,91.36,164.94,12,8,48,0.822,48,3.7001233496103354,2.5579,20.873809763719002,8.55,0.882,0.5578,71.782
39,115.33,76.49,145.96,18,16,55,0.672,48,3.3500496697107134,2.9309,15.963239159816123,5.56,1.9466,0.4413,39.972
40,80.74,43.92,63.72,12,10,66,0.647,24,16.76606009648396,0.5728,2.110011150784323,3.61,1.1518,0.4232,10.751
41,117.1,63.83,28.69,12,10,42,0.877,48,44.42870262664417,0.2148,1.8511707671018678,8.78,0.1913,0.352,10.164
42,119.67,78.0,68.48,12,10,16,0.332,48,35.68259779413919,0.2644,4.252565766958886,15.99,0.0758,0.3913,20.735
43,109.38,56.43,37.37,12,10,10,0.799,48,171.79079758875906,0.0549,2.7711529568252327,48.46,0.0093,0.2471,12.059
44,34.5,18.67,29.26,12,10,13,0.702,12,499.8903932474638,0.0192,0.06177170991460825,3.23,0.1149,0.1137,0.905
45,105.65,54.77,77.31,24,20,59,0.806,48,6.252885040525997,1.5435,6.13800997023981,3.96,2.075,0.316,23.195
46,80.23,40.71,20.91,36,24,53,0.772,24,24.844991857850363,0.3893,0.6688318932091719,1.71,1.9001,0.2316,3.674
47,83.65,58.88,113.88,24,20,16,0.407,24,15.750707259270952,0.605,2.914895143557285,4.7,0.6783,0.262,14.783
48,40.06,29.26,31.49,9,6,41,0.431,12,110.04719720429293,0.0883,0.02595920328443576,0.31,3.5862,0.1679,0.867
49,37.2,26.9,38.8,18,16,59,0.467,12,33.73236806858505,0.2802,0.06166404008788043,0.23,13.8659,0.1812,0.941
50,127.55,71.54,64.09,18,16,42,0.389,48,9.016667415506456,1.0324,10.938369060759761,10.77,0.3761,0.4777,26.268
51,78.38,40.4,71.33,36,24,49,0.707,24,8.106427675609313,1.1836,1.885605325943633,1.64,5.4633,0.217,11.829
52,90.32,65.89,112.84,18,12,38,0.748,24,7.643379910556087,1.2703,4.440033671622123,3.55,1.6456,0.4125,15.833
53,124.46,88.95,39.27,24,20,32,0.396,48,12.563932377196844,0.7707,6.468975289114566,8.49,0.3273,0.5093,10.938
54,66.46,35.31,38.32,24,22,33,0.475,24,32.0092384928004,0.3011,0.8736117335657614,2.87,0.8187,0.2419,4.465
55,104.08,70.31,64.77,36,24,53,0.732,48,4.128222724285588,2.3267,4.454307538449891,1.87,4.9786,0.342,14.023
56,46.35,24.21,63.78,12,8,32,0.747,12,62.993394585906735,0.1536,0.28171477927133987,1.76,1.0489,0.2763,3.661
57,126.04,68.84,120.02,36,24,14,0.422,48,9.105623943401236,1.0637,14.228108537344905,13.87,0.3115,0.3075,49.176
58,84.17,51.38,112.22,36,24,19,0.699,24,8.666362216848468,1.0791,3.227876336944652,3.02,1.7945,0.2623,18.334
59,39.74,20.6,15.64,12,8,65,0.859,12,157.87214456102024,0.0598,0.04529961315231719,0.74,1.5915,0.1943,0.664
60,148.26,87.51,200.96,24,20,16,0.572,48,4.826839802668552,1.934,39.71337953099372,21.58,0.2575,0.4744,105.799
61,33.62,17.67,24.82,12,8,77,0.804,12,97.98749555718943,0.0979,0.0540835597915902,0.54,3.5449,0.2825,0.747
62,133.48,96.76,123.82,18,16,54,0.767,48,2.907711031482664,3.2781,18.992809352160183,5.77,1.6409,0.4712,38.483
63,101.12,60.32,48.69,24,20,52,0.438,48,10.328003299549822,0.9317,3.6481118348726014,3.75,1.308,0.3357,11.787
64,69.14,39.06,28.83,36,30,57,0.614,24,16.294051870981164,0.5898,0.6108722491238426,1.05,4.3662,0.1897,3.448
65,123.52,75.97,25.82,12,8,61,0.849,48,27.248526011580662,0.3461,3.0843821964801115,8.62,0.2893,0.5697,9.002
66,84.22,48.66,59.59,24,20,41,0.451,24,14.554273008824726,0.6692,1.9886119836474991,2.88,1.5519,0.2532,10.35
67,104.58,55.9,90.11,12,14,11,0.855,48,59.19467916294836,0.1588,4.692215995412178,28.21,0.0341,0.1807,25.873
68,135.63,71.78,199.2,18,16,63,0.419,48,2.156121708360275,4.245,38.96294395267693,9.33,1.7552,0.3425,96.977
69,120.41,86.75,175.01,24,20,21,0.512,48,4.431557612320476,2.162,21.56171894524556,10.34,0.6198,0.477,44.853
70,100.0,64.44,127.74,24,22,32,0.422,48,6.050828582910432,1.5707,7.500015373700037,4.94,1.4445,0.3697,27.454
71,145.58,105.3,150.78,18,12,11,0.947,48,11.965051023710133,0.7969,33.20490824612135,42.6,0.0543,0.6796,56.006
72,129.97,71.88,33.84,24,22,24,0.714,48,26.740022111716,0.3573,6.62432550524306,19.04,0.0927,0.3406,14.584
73,124.47,68.25,160.0,9,6,30,0.923,48,11.549905076066949,0.8219,13.43942703879269,16.74,0.2057,0.6355,63.71
74,61.36,37.61,74.0,24,22,21,0.626,24,26.003890949686017,0.3601,0.8681231806744616,2.51,1.0832,0.1654,6.392
75,101.46,63.43,141.19,12,10,40,0.936,48,9.278353048381746,1.0366,7.568626653057262,7.68,0.6799,0.5036,32.544
76,103.4,76.12,78.01,18,16,53,0.307,48,7.224384838972451,1.32,1.7877282232388172,1.34,4.5251,0.3085,14.044
77,104.71,74.5,128.37,12,14,44,0.614,48,7.13958389342037,1.3453,8.557612612026732,6.15,0.8808,0.4649,25.546
78,65.12,37.41,41.71,18,16,17,0.83,24,83.58835833136949,0.1124,0.6207511881678902,5.3,0.1935,0.1746,4.355
79,40.27,28.79,24.31,12,8,36,0.714,12,127.51758484562082,0.0746,0.0611242723071143,0.84,1.1625,0.255,0.708
80,82.11,58.09,75.87,9,6,15,0.726,24,65.62604802856411,0.1442,1.108156978355184,7.98,0.1151,0.4306,9.393
81,131.07,78.32,152.67,36,24,77,0.909,48,1.1180711973439368,8.8537,19.28210141233236,2.25,13.3396,0.1579,61.978
82,99.8,61.11,78.63,18,12,35,0.867,24,11.404599077722997,0.8531,4.6960518061095,5.27,0.7389,0.468,17.996
83,72.84,54.1,100.38,36,24,10,0.993,24,21.14747617591346,0.4569,1.9977808343487051,4.2,0.6128,0.2433,8.777
84,108.78,74.53,147.31,36,30,17,0.627,48,5.446549742330395,1.7665,12.084804362148686,6.71,0.9522,0.3331,33.993
85,123.04,66.28,154.28,18,12,18,0.456,48,9.8412489892902,0.973,21.788721033382796,21.65,0.1697,0.5528,60.945
86,133.11,94.76,136.68,9,6,67,0.788,48,4.727237119625327,1.99,13.392509934489432,6.5,1.1101,0.5949,43.898
87,134.82,100.29,108.96,36,24,71,0.659,48,1.2976565643424207,7.606,19.38380211146683,2.64,7.7904,0.2836,32.515
88,61.72,38.22,26.4,12,10,37,0.365,24,79.69033729144256,0.1184,0.2501893237347504,2.16,0.5386,0.2551,2.28
89,33.01,18.31,15.88,9,6,15,0.42,12,972.5985550593584,0.0097,0.024986642761057873,2.57,0.0843,0.1517,0.44
90,90.69,61.67,92.65,24,20,75,0.724,24,3.3492691174135114,2.781,5.259307470015022,1.88,6.6272,0.2174,15.061
91,38.88,26.16,19.95,24,20,72,0.385,12,46.14266058961242,0.206,0.060369097964749076,0.29,9.8049,0.1622,0.607
92,49.66,32.23,50.59,36,30,74,0.369,12,8.351936617496568,1.1187,0.6461203605005941,0.55,17.5843,0.0699,2.654
93,62.41,35.19,71.12,12,14,60,0.891,24,24.259475261432137,0.3931,1.0907071098367045,2.75,1.4525,0.2781,6.944
94,69.15,35.86,74.57,12,10,39,0.472,24,27.718618427023223,0.3463,1.259213848865323,3.58,0.7574,0.3937,9.583
95,73.12,53.34,18.1,36,24,8,0.402,24,140.51173497252512,0.0692,0.6244841434535434,8.64,0.0536,0.1616,1.664
96,89.29,54.25,128.73,12,8,63,0.951,24,6.85405623919082,1.3814,5.6169344331881454,4.04,1.8434,0.3791,23.8
97,65.12,34.81,75.02,12,8,28,0.884,24,40.318770208782766,0.2356,1.4528453580376686,6.38,0.3059,0.4717,8.351
98,60.87,43.27,41.68,36,30,26,0.586,24,20.332118570159274,0.467,0.8527950960800491,1.84,1.589,0.2312,2.809
99,126.29,67.72,60.2,12,10,45,0.767,48,17.154405907997845,0.5529,7.210630299584728,13.1,0.2282,0.5285,25.143
100,62.56,46.6,35.67,9,6,63,0.75,24,38.01213769781283,0.251,0.021246393157249577,0.09,24.2336,0.0942,2.283
101,34.97,19.46,14.49,12,10,49,0.974,12,264.6551187079174,0.0355,0.026601111791788777,0.77,1.0741,0.1211,0.45
102,93.68,68.26,21.98,12,14,63,0.552,24,33.95205585166929,0.2787,0.8632241785822597,3.11,0.7235,0.4123,3.326
103,33.88,21.05,30.8,9,6,63,0.973,12,108.98589129476952,0.0875,0.044125742760132806,0.53,2.8976,0.2892,0.798
104,136.31,77.79,105.51,36,24,8,0.769,48,16.128131369496685,0.5943,19.320742368515635,33.19,0.0665,0.3546,48.588
105,93.79,51.17,88.61,9,6,41,0.374,24,20.553905064441995,0.4562,3.934898822941262,8.36,0.3291,0.5419,20.124
106,110.68,82.75,97.88,36,24,74,0.605,48,1.9949393960006183,4.6658,7.084058619064309,1.46,13.0924,0.2719,19.439
107,97.98,65.33,85.35,36,24,46,0.94,24,3.835732481143039,2.5045,4.260482346665349,1.62,6.3484,0.238,16.727
108,132.31,69.1,81.06,18,12,58,0.867,48,5.948062544988147,1.5934,8.589518674224072,5.52,1.2212,0.4372,37.936
109,58.83,41.03,32.57,36,30,25,0.662,12,29.780041184429475,0.3171,0.3691736530767193,1.11,2.0203,0.1553,2.129
110,90.56,60.88,83.71,12,14,17,0.517,24,38.46198872300315,0.2529,2.1729897834999505,8.24,0.1723,0.2689,13.829
111,112.12,71.97,156.94,24,22,24,0.635,48,6.1071220913040785,1.5493,13.923233436845697,8.75,0.7463,0.3915,42.641
112,138.26,80.45,172.73,24,20,23,0.429,48,4.423563338943265,2.149,36.2488177402758,17.68,0.39,0.4676,80.274
113,124.89,85.91,97.25,24,20,36,0.817,48,4.894749480234961,1.9958,12.957038349972457,6.21,1.0403,0.4546,29.376
114,56.89,39.4,32.18,18,16,78,0.876,12,21.745042451074752,0.4437,0.2687414582476548,0.6,6.4368,0.2507,1.992
115,103.67,76.48,140.78,36,24,8,0.815,48,11.43907149876881,0.8225,10.585320822465317,13.22,0.2184,0.4106,25.351
116,81.15,50.77,45.11,24,22,48,0.368,24,13.41421664327667,0.7105,1.5408702395950062,2.08,1.9875,0.3121,6.645
117,104.08,77.08,52.55,36,30,43,0.86,48,5.790725766838203,1.6683,4.577115070660071,2.84,2.2323,0.3877,9.447
118,40.38,25.94,48.11,24,20,50,0.669,12,24.92508346779857,0.3867,0.1998621765110411,0.51,8.2966,0.213,1.693
119,137.44,77.54,86.3,12,14,73,0.458,48,6.073493793591503,1.5987,12.23776271223274,7.64,0.8604,0.495,40.846
120,71.29,43.35,91.08,36,30,62,0.428,24,3.5785853184211933,2.6577,2.265648422244859,0.87,16.4841,0.1545,10.722
121,84.24,48.1,41.37,24,20,39,0.572,24,18.551928341795588,0.5039,1.3795397650745107,2.77,1.1199,0.2549,7.273
122,94.67,67.8,136.18,18,12,42,0.686,24,5.096407244855132,1.831,8.527593279894534,4.59,1.6723,0.3768,21.856
123,138.11,90.84,184.56,24,20,39,0.302,48,2.0709967423313373,4.5891,41.98356460779158,9.27,1.3527,0.4141,73.43
124,81.38,53.76,95.46,36,30,19,0.678,24,10.695201090819046,0.9059,3.5950052542798994,4.14,1.1247,0.2544,13.099
125,146.17,86.06,110.99,9,6,80,0.9,48,5.915387229550471,1.6465,17.08854690486275,10.69,0.6725,0.5827,56.953
126,65.21,34.12,68.29,12,14,29,0.695,24,46.7009504148385,0.2008,1.2381262220143472,6.18,0.3006,0.2987,7.754
127,86.27,49.87,54.93,9,6,48,0.66,24,29.199301778584154,0.3242,2.4134431234240044,7.34,0.3034,0.5797,10.003
128,140.1,73.76,51.07,24,20,11,0.994,48,37.22322184532435,0.2601,8.283654497964214,30.56,0.0367,0.2695,26.632
129,113.35,64.93,162.21,36,24,8,0.688,48,11.21525757757129,0.8343,23.042682727781767,28.12,0.1165,0.3458,51.469
130,140.56,102.56,108.41,36,24,55,0.65,48,1.82553166618743,5.4424,14.000827712160788,2.52,6.3241,0.3268,36.814
131,131.18,91.34,108.1,36,24,57,0.929,48,1.8283528769353767,5.4328,12.80655686047131,2.3,7.0834,0.3282,35.23
132,107.6,54.31,108.63,12,14,64,0.716,48,7.642746743761793,1.2664,6.850105456119252,5.26,1.2394,0.3681,34.453
133,57.15,39.03,77.99,36,30,45,0.605,12,7.294586399911986,1.2913,0.7200634002201908,0.56,16.0182,0.0907,4.995
134,35.5,22.87,41.66,12,8,67,0.49,12,51.49622327336913,0.1861,0.07364185785595853,0.39,6.7344,0.2613,1.129
135,137.15,98.63,132.23,24,22,75,0.321,48,1.7788068468903162,5.4002,24.292215430047914,4.42,4.0634,0.3264,44.143
136,116.1,77.53,91.39,24,22,58,0.908,48,3.5241959413561617,2.7222,7.094235492314797,2.71,3.5861,0.3611,25.089
137,148.45,82.16,71.61,12,10,29,0.929,48,19.078748742210536,0.503,18.526413442127044,35.77,0.0644,0.6047,40.243
138,75.95,50.57,75.2,9,6,37,0.632,24,30.529829168997278,0.3069,0.6105960677630519,2.07,1.0513,0.3541,8.877
139,80.15,46.73,34.88,24,20,52,0.721,24,16.964746150015593,0.5584,1.2849113177050908,2.26,1.5759,0.3184,5.436
140,118.41,61.08,149.58,18,16,33,0.404,48,7.034841272324978,1.3554,12.19127870292455,8.84,0.7353,0.3754,56.577
141,56.51,40.15,83.26,9,6,31,0.821,12,46.38337134492945,0.2096,0.4885699670659013,2.41,0.7846,0.4141,4.838
142,44.42,28.12,9.98,12,8,25,0.996,12,471.03516189128214,0.0199,0.04116375526590873,2.08,0.1855,0.1649,0.434
143,73.4,47.3,75.28,12,14,69,0.753,24,11.380411275836352,0.8205,1.5736397255822665,1.91,2.6429,0.3487,8.713
144,43.82,29.81,56.28,24,22,59,0.468,12,15.46976913245942,0.6272,0.24894845667171622,0.4,14.5005,0.1764,2.135
145,127.82,76.75,187.38,12,10,48,0.878,48,4.719964287471425,2.0155,26.267888808681228,12.54,0.6561,0.5161,71.949
146,62.67,33.49,31.53,9,6,53,0.647,24,72.35994438599974,0.1324,0.29048799954858184,2.23,0.6631,0.3557,3.251
147,59.56,38.53,46.71,24,20,48,0.322,12,18.77154300393963,0.5144,0.5383761063709056,1.08,3.7981,0.2384,3.542
148,32.29,23.76,30.73,18,12,31,0.817,12,96.34943542490089,0.1007,0.03777503753966952,0.36,3.7692,0.147,0.539
149,122.8,64.24,167.76,18,12,39,0.447,48,4.919938651201401,1.9399,17.17641292968714,8.89,0.9642,0.4709,67.546
150,141.5,101.36,64.73,36,24,22,0.754,48,7.330298366300408,1.3002,8.630209592873756,6.39,0.6313,0.3418,23.198
151,68.12,34.28,74.74,12,10,33,0.534,24,38.09852110745537,0.2469,1.4165803450748204,5.58,0.4098,0.365,9.522
152,56.43,38.23,23.3,24,20,12,0.712,12,165.58882721862014,0.0584,0.22719418207974668,3.93,0.1457,0.1316,1.476
153,89.72,62.03,123.52,36,30,16,0.487,24,7.333528201880631,1.3007,6.360993206994787,5.12,0.9843,0.2999,19.073
154,112.35,65.5,131.53,12,8,38,0.731,48,8.769895719278132,1.1034,10.16660098858368,9.25,0.5068,0.5529,40.282
155,37.18,26.24,34.05,24,20,20,0.583,12,85.07347061682442,0.1108,0.10682031337093438,0.93,1.3248,0.1412,0.869
156,146.97,99.28,170.99,12,10,77,0.341,48,2.34297289713772,4.2194,43.774632529837575,10.51,1.2026,0.461,73.816
157,52.04,37.9,56.55,12,14,29,0.394,12,53.29392967038389,0.1791,0.2001787208916753,1.14,1.4185,0.1956,2.645
158,82.41,50.97,109.7,24,20,19,0.89,24,13.731903822666105,0.6802,5.122811115826024,7.8,0.4636,0.3932,16.909
159,111.33,78.0,51.45,12,10,24,0.326,48,32.83183187366938,0.2859,1.7021977162211446,5.81,0.2566,0.3418,11.936
160,102.33,66.89,69.22,24,22,68,0.695,48,5.241222097212511,1.8429,4.910913975061667,2.55,3.4489,0.364,15.255
161,111.57,76.79,147.88,36,30,75,0.712,48,1.1081495609065606,8.8366,17.86110226584797,2.01,14.1116,0.174,35.604
162,128.72,67.04,111.43,9,6,11,0.631,48,51.76263889899052,0.1809,8.82446976209515,48.83,0.0192,0.4765,49.451
163,134.45,94.88,129.39,18,12,9,0.584,48,19.15133579976835,0.4935,17.970310985918758,34.8,0.047,0.5116,43.159
164,46.82,31.0,44.93,12,8,66,0.651,12,35.3135774136089,0.2665,0.19122594228349155,0.7,4.2095,0.3487,2.033
165,146.68,102.3,110.51,12,14,66,0.77,48,4.181892044094722,2.3393,12.29980198763062,5.33,1.4373,0.4725,44.878
166,130.44,93.81,151.7,24,20,49,0.747,48,2.068417328146745,4.6096,27.396100696103677,5.93,2.2255,0.4089,45.798
167,34.02,25.22,9.0,36,30,21,0.838,12,226.88751937921515,0.0425,0.019067242201292082,0.47,1.272,0.0512,0.173
168,85.58,61.44,86.32,18,12,34,0.652,24,10.555367693994837,0.8982,2.918444159311942,3.38,1.2149,0.4833,11.262
169,76.07,50.01,105.83,36,30,20,0.94,24,9.290418029505597,1.0185,2.452439236438233,2.39,2.2512,0.2033,12.785
170,68.5,47.17,24.9,12,10,26,0.73,24,103.92444550722435,0.0906,0.4200826709991717,4.78,0.1769,0.2913,2.258
171,109.99,77.33,22.29,9,6,44,0.46,48,56.615173769516865,0.1714,0.7739462651467441,4.42,0.3372,0.4267,5.013
172,118.97,63.07,121.93,9,6,8,0.363,48,62.061878878377094,0.1556,14.264787891991206,95.91,0.0075,0.6398,45.603
173,138.3,99.34,28.74,18,16,10,0.59,48,68.25428419583014,0.1404,4.5627868367973425,31.94,0.0191,0.3485,9.78
174,130.42,80.11,103.21,12,14,29,0.395,48,14.371247082332017,0.6792,6.616453459105666,9.38,0.3226,0.3406,40.185
175,62.01,43.57,29.11,36,30,9,0.704,24,92.77951034784441,0.1045,0.3957886674685651,3.88,0.1901,0.0951,2.083
176,81.01,54.65,66.5,36,24,79,0.503,24,3.9302523206362383,2.4232,2.623297047843184,1.05,13.203,0.1714,8.741
177,54.62,30.19,55.22,24,22,55,0.941,12,18.657076326815414,0.5121,0.4727688524662962,0.97,5.522,0.1691,4.205
178,147.63,105.87,193.66,9,6,22,0.961,48,10.110790480297148,0.9523,15.120179526099944,16.11,0.198,0.6382,75.365
179,127.45,66.78,67.73,36,30,64,0.721,48,3.824815839424437,2.4635,8.386052644393333,3.36,3.4616,0.2947,29.337
180,95.9,69.88,34.13,36,24,32,0.944,24,14.571386432309309,0.6621,1.5988028526026625,2.34,1.3786,0.2898,5.412
181,70.08,52.46,41.46,18,16,60,0.854,24,16.227143581933422,0.5969,0.5767418736344684,1.01,3.8034,0.3204,3.289
182,90.91,55.6,103.83,12,10,41,0.372,24,13.530606283571231,0.6956,3.2715769385365925,4.57,0.8835,0.4006,19.737
183,86.47,59.76,116.12,12,14,38,0.726,24,11.625100152784865,0.8168,2.1342119576805243,2.52,1.6516,0.3173,16.669
184,148.88,110.69,140.93,18,16,11,0.961,48,12.511415133289516,0.7544,22.562737496526797,31.15,0.0705,0.4789,51.35
185,111.44,75.52,94.67,9,6,44,0.493,48,13.935373643406816,0.6726,2.3731043623518318,3.41,0.9947,0.4883,23.367
186,36.38,23.56,21.27,12,14,73,0.805,12,82.00865350981454,0.1172,0.039605545480836286,0.33,5.1092,0.1465,0.601
187,116.57,65.28,130.51,9,6,50,0.769,48,9.462278544773751,1.0261,8.444035933305413,8.34,0.5768,0.5927,44.745
188,57.0,37.35,21.91,18,16,33,0.479,12,76.61604304845571,0.1237,0.2567524595352991,2.06,0.5818,0.281,1.494
189,37.72,24.25,51.73,18,16,17,0.55,12,96.75208245763955,0.0981,0.15793373507281327,1.57,0.7465,0.1339,1.588
190,44.04,28.04,9.91,12,14,31,0.393,12,368.3254981284679,0.0263,0.04692669139361527,1.84,0.259,0.108,0.42
191,74.16,46.11,82.37,36,24,49,0.993,24,5.6167337742217,1.6696,2.0842840147112316,1.22,8.5152,0.2131,10.214
192,124.26,89.14,28.85,24,22,71,0.655,48,8.506711331334447,1.1358,3.1285500608506824,2.85,1.7481,0.3785,7.948
193,144.22,85.07,49.8,18,16,39,0.684,48,13.821137352593718,0.6857,8.886157992032606,12.41,0.2597,0.461,24.823
194,44.27,30.89,53.75,12,10,23,0.374,12,81.17486149751822,0.1196,0.19801459350781977,1.71,0.6942,0.3217,1.987
195,126.52,82.92,84.49,12,14,35,0.381,48,12.619494361435331,0.7538,10.3724453124919,14.01,0.2249,0.533,28.355
196,81.74,59.94,97.42,24,22,34,0.899,24,8.109386742121455,1.1824,2.624357096432724,2.22,2.6473,0.2941,11.057
197,64.99,42.19,87.21,36,24,27,0.496,24,10.260712431724624,0.9396,1.456248249928625,1.49,4.0183,0.2285,7.832
198,37.02,23.03,7.89,18,16,6,0.823,12,1912.865088803084,0.005,0.016371825608366006,3.48,0.0269,0.0311,0.243
199,112.11,82.5,96.01,12,14,26,0.927,48,13.636159749745197,0.6951,4.12793219912618,6.25,0.4129,0.3771,20.335
200,90.18,47.13,68.68,12,14,10,0.77,24,86.28107380066511,0.1107,4.023121190703589,36.18,0.0187,0.3023,14.922
201,108.38,64.94,51.81,18,12,17,0.741,48,32.77403900724215,0.2907,4.803297412296085,16.81,0.0807,0.476,14.339
202,115.86,72.95,153.69,9,6,15,0.787,48,25.528181744842527,0.3692,9.819386307425368,27.5,0.0612,0.6085,45.767
203,110.53,70.74,45.41,18,12,37,0.816,48,16.157978436356945,0.5966,4.636006713865427,7.66,0.3556,0.5,12.04
204,136.93,93.09,82.26,24,20,39,0.4,48,5.912211221335188,1.6444,9.798450079610616,5.68,1.079,0.4028,30.487
205,55.75,29.1,53.71,12,14,75,0.945,12,30.542704711646724,0.3172,0.4654940054046952,1.47,2.6004,0.2234,4.465
206,36.08,25.47,25.11,36,30,43,0.342,12,34.798863470207074,0.2706,0.08465462854048832,0.32,9.0587,0.1509,0.603
207,32.21,20.36,43.91,12,14,36,0.696,12,100.51781914941735,0.0939,0.0723754133717308,0.8,1.8319,0.1285,1.006
208,98.56,50.5,117.8,18,16,8,0.961,24,44.092798476330934,0.2165,6.3960514031996345,29.38,0.0424,0.295,31.021
209,87.14,65.25,44.23,24,20,11,0.454,24,45.60286727571191,0.2092,1.6817120614283,8.09,0.1204,0.3225,5.423
210,109.43,62.16,135.01,9,6,15,0.52,48,30.676944050061717,0.3134,7.091358663736486,22.62,0.065,0.5686,40.248
